652b8baa43e8c47e4eb4838b	How is Russia benefitting from the Hamas Israel conflict? #upsc #palestine #news	obQ35TTzo9M	The intense conflict between Gaza and Israel is showcased with military presence and tensions on both sides.	The video provides a glimpse into the intense conflict between Gaza and Israel, showcasing the military presence and tensions on both sides.	0	30
652b8baa43e8c47e4eb4838b	How is Russia benefitting from the Hamas Israel conflict? #upsc #palestine #news	obQ35TTzo9M	The ongoing conflict between Israel and Gaza is depicted, highlighting the destruction caused by the violence.	The video depicts the ongoing conflict between Israel and Gaza, showing the destruction caused by the violence.	30	45
652b8baa43e8c47e4eb4838b	How is Russia benefitting from the Hamas Israel conflict? #upsc #palestine #news	obQ35TTzo9M	Various images and text are shown, including maps of Gaza, Israel, Europe, and Russia, with a man speaking in a black jacket.	A video featuring various images and text on different backgrounds, including maps of Gaza, Israel, Europe, and Russia, with a man speaking in a black jacket.	45	59
652b8ba543e8c47e4eb4838a	Israel Palestine Conflict, Part 1 | War #shorts #facts #viral #israel #ww3 #youtubeshorts	g0FmYHsQWZ8	Facts about Israel and Palestine Conflict, Part 1	The conflict began in the early 1900s, when Jewish people began to immigrate to Palestine, which was then part of the Ottoman Empire.	0	15
652b8ba543e8c47e4eb4838a	Israel Palestine Conflict, Part 1 | War #shorts #facts #viral #israel #ww3 #youtubeshorts	g0FmYHsQWZ8	Ongoing violence and turmoil in Gaza City	The video provides a glimpse into the ongoing violence and turmoil in Gaza City amidst the Israel-Palestine Conflict, showcasing the clashes between civilians and security forces, the mourning of the deceased president, and the widespread destruction caused by the conflict.	15	30
652b8ba543e8c47e4eb4838a	Israel Palestine Conflict, Part 1 | War #shorts #facts #viral #israel #ww3 #youtubeshorts	g0FmYHsQWZ8	Intense Israeli-Palestinian conflict	The video showcases the intense Israeli-Palestinian conflict, portraying individuals armed with guns, people gathered around tables, and large crowds.	30	40
652b8b9f43e8c47e4eb48389	FLASHBACK: Joan Rivers ROASTS Media Over Israeli/Palestine Conflict	qDb7J4kBG88	A woman passionately shares her perspective on the conflict between Palestine and Israel.	The woman expresses her strong views on the conflict and highlights the potential consequences for states like New Jersey if they were to launch rockets into New York.	0	15
652b8b9f43e8c47e4eb48389	FLASHBACK: Joan Rivers ROASTS Media Over Israeli/Palestine Conflict	qDb7J4kBG88	The woman calls out CNN and BBC for their portrayal of events and demands that they stop spreading misinformation.	She expresses frustration with media outlets and emphasizes the need for accurate reporting.	45	60
652b8b9f43e8c47e4eb48389	FLASHBACK: Joan Rivers ROASTS Media Over Israeli/Palestine Conflict	qDb7J4kBG88	The woman emphasizes the need to refrain from placing weapon stashes in private homes during conflicts.	She passionately addresses the issue of weapon stashes in private homes and the consequences of such actions.	30	45
652b8b9c43e8c47e4eb48388	മൊസാദ് പരാജയപ്പെട്ടോ ! അതോ വേറെ കളിയോ ? |Israel palestine conflict  | Mossad	TCnEy8lLS0k	The significance of war videos depicting chaotic events and destruction is discussed	The video captures the aftermath of a destructive event, with smoke rising from buildings and people gathering around. A man in a blue suit addresses the crowd, possibly providing information or guidance. The scene hints at a situation involving chaos and destruction, possibly in a war zone.	225	240
